id,authors,year,title,venue
476,"Z. Meral �zsoyoglu, Gultekin �zsoyoglu, Abdullah Al-Hamdani, �zg�r Ulusoy, Selma Ayse �zel, Ismail Seng�r Alting�vde",2002,Sideway Value Algebra for Object-Relational Databases,VLDB
477,Isabel F. Cruz,2000,SIGMOD Digital Symposium Collection (DiSC) Editor's Message,SIGMOD Record
478,"Martin Pfeifle, Hans-Peter Kriegel, Stefan Brecheisen, Peer Kr�ger, Matthias Schubert",2003,Using Sets of Feature Vectors for Similarity Search on Voxelized CAD Objects,SIGMOD Conference
479,"Yannis E. Ioannidis, Marvin H. Solomon, Odysseas G. Tsatalos",1996,The GMAP: A Versatile Tool for Physical Data Independence,VLDB J.
480,"Antara Ghosh, Vibhuti S. Sengar, Jayant R. Haritsa, Jignashu Parikh",2002,Plan Selection Based on Query Clustering,VLDB
481,"David Buttler, Wei Han, Calton Pu",2001,Wrapping Web Data into XML,SIGMOD Record
482,"Paul W. P. J. Grefen, Peter M. G. Apers, Jochem Vonk",2001,Global transaction support for workflow management systems: from formal specification to practical implementation,VLDB J.
483,Jack A. Orenstein,1998,Starting (and Sometimes Ending) a Database Company,VLDB
484,"J�rg Sander, Hans-Peter Kriegel, Markus M. Breunig, Mihael Ankerst",1999,OPTICS: Ordering Points To Identify the Clustering Structure,SIGMOD Conference
485,"Stefano Paraboschi, Stefano Ceri, Fabio Casati, Giuseppe Pozzi",1999,Specification and Implementation of Exceptions in Workflow Management Systems,ACM Trans. Database Syst.
486,Andrew Eisenberg,1996,New Standard for Stored Procedures in SQL,SIGMOD Record
487,"Khaled Yagoub, Dan Suciu, Alon Y. Levy, Daniela Florescu",1999,Optimization of Run-time Management of Data Intensive Web-sites,VLDB
488,"Ioana Manolescu, Serge Abiteboul, Tova Milo, Angela Bonifati, Gregory Cobena",2003,Dynamic XML documents with distribution and replication,SIGMOD Conference
489,"Thin-Fong Tsuei, Allan Packer, Keng-Tai Ko",1997,Database Buffer Size Investigation for OLTP Workloads (Experience Paper),SIGMOD Conference
490,"Patrick Valduriez, Serge Abiteboul, Sophie Cluet, Kenneth A. Ross, Raghu Ramakrishnan, Guy M. Lohman, David B. Lomet, Richard T. Snodgrass, Gultekin �zsoyoglu, Michael J. Franklin, Timos K. Sellis",1999,Reminiscences on Influential Papers,SIGMOD Record
491,"Sridhar Rajagopalan, Bruce G. Lindsay, Gurmeet Singh Manku",1999,Random Sampling Techniques for Space Efficient Online Computation of Order Statistics of Large Datasets,SIGMOD Conference
492,M. Tamer �zsu,2003,New partnership with ACM and update on the journal,VLDB J.
493,"St�phane Bressan, Kian-Lee Tan, Beng Chin Ooi, Chong Leng Goh",2000,Integrating Replacement Policies in StorM: An Extensible Approach,SIGMOD Conference
494,Kestutis Ivinskis,1995,High Availability of Commercial Applications,SIGMOD Conference
495,"D. Janaki Ram, R. Ramakrishnan",1996,Modeling Design Versions,VLDB
496,"Daniel A. Keim, Stefan Berchtold",1998,"High-Dimensional Index Structures, Database Support for Next Decade's Applications (Tutorial)",SIGMOD Conference
497,"SungRan Cho, Laks V. S. Lakshmanan, Divesh Srivastava, Sihem Amer-Yahia",2003,LockX: A System for Efficiently Querying Secure XML,SIGMOD Conference
498,Marianne Winslett,2002,David DeWitt Speaks Out,SIGMOD Record
499,"Richard Frank, Gopalan Arun, Richard Anderson",1998,Oracle Rdb's Record Caching Model,SIGMOD Conference
500,Ramesh C. Agarwal,1996,A Super Scalar Sort Algorithm for RISC Processors,SIGMOD Conference
501,"Goetz Graefe, Richard L. Cole",1995,Fast Algorithms for Universal Quantification in Large Databases,ACM Trans. Database Syst.
502,Richard T. Snodgrass,1999,Chair's Message,SIGMOD Record
503,"Umeshwar Dayal, Gerhard Weikum, Rakesh Agrawal, Johannes Klein, Shalom Tsur, Serge Abiteboul",2001,Are Web Services the Next Revolution in e-Commerce? (Panel),VLDB
504,"Hongyan Liu, Hongjun Lu",2000,Decision Tables: Scalable Classification Exploring RDBMS Capabilities,VLDB
505,"Jun Rao, Kenneth A. Ross",1998,Reusing Invariants: A New Strategy for Correlated Queries,SIGMOD Conference
506,"Munir Cochinwala, Francesco Caruso, Paolo Missier, Uma Ganapathy, Gail Lalk",2000,Telcordia's Database Reconciliation and Data Quality Analysis Tool,VLDB
507,"Kenneth A. Ross, Damianos Chatziantoniou",1997,Groupwise Processing of Relational Queries,VLDB
508,"Thorsten Fiebig, Till Westmann, Robert Schiele, Guido Moerkotte, Carl-Christian Kanne, Julia Neumann, Sven Helmer",2002,Anatomy of a native XML base management system,VLDB J.
509,"Henrique Paques, Wei Tang, Calton Pu, Wei Han, Ling Liu, David Buttler",2000,AQR-Toolkit: An Adaptive Query Routing Middleware for Distributed Data Intensive Systems,SIGMOD Conference
510,"Stefan Seltzsam, Donald Kossmann, Markus Keidl, Reinhard Braumandl, Alexander Kreutz, Konrad Stocker, Alfons Kemper",2001,ObjectGlobe: Ubiquitous query processing on the Internet,VLDB J.
511,"Gerard Rodr�guez-Mul�, Andreas Paepcke, Junghoo Cho, Hector Garcia-Molina",2000,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies,SIGMOD Record
512,"Jeanine Wei�enfels, Dirk Wodtke, Angelika Kotz Dittrich, Gerhard Weikum, Peter Muth",1997,The MENTOR Workbench for Enterprise-wide Workflow Management,SIGMOD Conference
513,"Luis Gravano, Anthony Tomasic, Hector Garcia-Molina",1994,The Effectiveness of GlOSS for the Text Database Discovery Problem,SIGMOD Conference
514,David Elliot Shaw,1998,Technology and the Future of Commerce and Finance (Abstract),VLDB
515,"Alon Y. Levy, Daniela Florescu, Daphne Koller",1997,Using Probabilistic Information in Data Integration,VLDB
516,"Surajit Chaudhuri, Ashish Kumar Gupta, Vivek R. Narasayya",2002,Compressing SQL workloads,SIGMOD Conference
517,"Bernhard Mitschang, Tobias Kraft, Holger Schwarz, Ralf Rantzau",2003,Coarse-Grained Optimization: Techniques for Rewriting SQL Statement Sequences,VLDB
518,"Achim Kraiss, Gerhard Weikum",1998,Integrated Document Caching and Prefetching in Storage Hierarchies Based on Markov-Chain Predictions,VLDB J.
519,"Ouri Wolfson, S. A. M. Makki, Kia Makki, Charles E. Perkins, Birgitta K�nig-Ries, Peter L. Reiher, Niki Pissinou, Peter Scheuermann, Jari Veijalainen",2002,Report on the NSF Workshop on Building an Infrastructure for Mobile and Wireless Systems,SIGMOD Record
520,Michael Stonebraker,1998,Are We Working On the Right Problems? (Panel),SIGMOD Conference
521,?,2000,"Ordering Information, Conference Organizers, Program Committees, Additional Reviewers, Additional Demonstrations Reviewers, Sponsors, VLDB Endowment, Preface, Foreword",VLDB
522,"Wolfgang May, Bertram Lud�scher",2002,Understanding the global semantics of referential actions using logic rules,ACM Trans. Database Syst.
523,Ling Liu,2002,Editor's Notes,SIGMOD Record
524,"Gerhard Weikum, Patrick E. O'Neil, Peter Muth, Achim Pick",2000,The LHAM Log-Structured History Data Access Method,VLDB J.
525,"Randal J. Peters, M. Tamer �zsu, Boman Irani, Adriana Mu�oz, Anna Lipka, Duane Szafron",1995,TIGUKAT: A Uniform Behavioral Objectbase Management System,VLDB J.
526,"Chung-Sheng Li, Vittorio Castelli, Lawrence D. Bergman, John R. Smith, Yuan-Chi Chang, Ming-Ling Lo",2000,The Onion Technique: Indexing for Linear Optimization Queries,SIGMOD Conference
527,"Rajeev Rastogi, Kyuseok Shim, Apostol Natsev",1999,WALRUS: A Similarity Retrieval Algorithm for Image Databases,SIGMOD Conference
528,Jeffrey D. Ullman,2003,Improving the Efficiency of Database-System Teaching,SIGMOD Conference
529,"Manfred A. Jeusfeld, Ling Feng, Jeroen Hoppenbrouwers",2001,Towards Knowledge-Based Digital Libraries,SIGMOD Record
530,C�sar A. Galindo-Legaria,1994,Outerjoins as Disjunctions,SIGMOD Conference
531,Curtis E. Dyreson,1996,Information Retrieval from an Incomplete Data Cube,VLDB
532,"Mohamed Za�t, Beno�t Dageville",2002,SQL Memory Management in Oracle9i,VLDB
533,"Per-�ke Larson, Weiye Zhang",1998,Buffering and Read-Ahead Strategies for External Mergesort,VLDB
534,"Vivek R. Narasayya, Rajeev Motwani, Surajit Chaudhuri",1998,Random Sampling for Histogram Construction: How much is enough?,SIGMOD Conference
535,"Dimitris Papadias, Timos K. Sellis",1994,Qualitative Representation of Spatial Knowledge in Two-Dimensional Space,VLDB J.
536,"Bertram Lud�scher, Maryann E. Martone, Amarnath Gupta",2003,BIRN-M: A Semantic Mediator for Solving Real-World Neuroscience Problems,SIGMOD Conference
537,"Anindya Datta, Kaushik Dutta, Helen M. Thomas, Debra E. VanderMeer, Krithi Ramamritham, Dan Fishman",2001,A Comparative Study of Alternative Middle Tier Caching Solutions to Support Dynamic Web Content Acceleration,VLDB
538,"Giuseppe Psaila, Stefano Ceri, Rosa Meo",1996,A New SQL-like Operator for Mining Association Rules,VLDB
539,C. Mohan,2002,Tutorial: application servers and associated technologies,SIGMOD Conference
540,"Xiaoyang Sean Wang, Duminda Wijesekera, Claudio Bettini, Sushil Jajodia",2002,Provisions and Obligations in Policy Management and Security Applications,VLDB
541,"Michael J. Franklin, Samuel Madden, Joseph M. Hellerstein, Mehul A. Shah",2001,Java Support for Data-Intensive Systems: Experiences Building the Telegraph Dataflow System,SIGMOD Record
542,"Guido Moerkotte, Jens Clau�en, Klaus Peithner, Alfons Kemper",1997,Optimizing Queries with Universal Quantification in Object-Oriented and Object-Relational Databases,VLDB
543,"Chee Yong Chan, Yannis E. Ioannidis",1999,An Efficient Bitmap Encoding Scheme for Selection Queries,SIGMOD Conference
544,"C. J. Date, Hugh Darwen",1995,The Third Manifesto,SIGMOD Record
545,"Manish Mehta, David J. DeWitt",1997,Data Placement in Shared-Nothing Parallel Database Systems,VLDB J.
546,"Alexandros Biliris, Euthimios Panagos",1996,The BeSS Object Storage Manager: Architecture Overview,SIGMOD Record
547,"Agathoniki Trigoni, Rajmohan Rajaraman, Alan J. Demers, Yong Yao, Johannes Gehrke",2003,The Cougar Project: a work-in-progress report,SIGMOD Record
548,"Bertram Lud�scher, Amarnath Gupta, Maryann E. Martone",2000,Model-Based Information Integration in a Neuroscience Mediator System,VLDB
549,"Sanjeev Khanna, Michael Greenwald",2001,Space-Efficient Online Computation of Quantile Summaries,SIGMOD Conference
550,"Philippe Pucheral, Lilan Wu, Luc Bouganim, Fran�ois Dang Ngoc",2003,Chip-Secured Data Access: Reconciling Access Rights with Data Encryption,VLDB
551,"Vibha Dayal, Satish Ramakrishnan",1998,The PointCast Network,SIGMOD Conference
552,Moira C. Norrie,1995,Integration Approaches for CIM,SIGMOD Conference
553,Joseph M. Hellerstein,2003,Toward network data independence,SIGMOD Record
554,"David Buttler, Tong Zhou, Ling Liu, Paul Benninghoff, Wei Han, Calton Pu, Fenghua Yu, Wei Tang, John Biggs",1998,CQ: A Personalized Update Monitoring Toolkit,SIGMOD Conference
555,"Hans-J�rg Schek, Michael Stonebraker, Jim Gray, Jeffrey D. Ullman",2003,The Lowell Report,SIGMOD Conference
556,"Samuel Madden, Joseph M. Hellerstein",2002,Distributing queries over low-power wireless sensor networks,SIGMOD Conference
557,"Yannis Theodoridis, Yannis Manolopoulos, Antonio Corral, Michael Vassilakopoulos",2000,Closest Pair Queries in Spatial Databases,SIGMOD Conference
558,"Lionel Brunie, Harald Kosch",1996,Control Strategies for Complex Relational Query Processing in Shared Nothing Systems,SIGMOD Record
559,"Xi S. Guo, Jack G. Conrad, Peter Jackson, Monem Meziou",2002,Database Selection Using Actual Physical and Acquired Logical Collection Resources in a Massive Domain-specific Operational Environment,VLDB
560,"Philip A. Bernstein, Erhard Rahm, Jayant Madhavan",2001,Generic Schema Matching with Cupid,VLDB
561,"Gerd G. Hillebrand, Peter Buneman, Susan B. Davidson, Dan Suciu",1996,A Query Language and Optimization Techniques for Unstructured Data,SIGMOD Conference
562,"William O'Connell, Thomas A. Funkhouser, Alexandros Biliris, Euthimios Panagos",1996,BeSS: Storage Support for Interactive Visualization Systems,SIGMOD Conference
563,"Leonidas Fegaras, David Maier",2000,Optimizing object queries using an effective calculus,ACM Trans. Database Syst.
564,"Andrew Eisenberg, Jim Melton",2002,An Early Look at XQuery,SIGMOD Record
565,"C�sar A. Galindo-Legaria, Martin L. Kersten, Arjan Pellenkoft",1997,The Complexity of Transformation-Based Join Enumeration,VLDB
566,"Amarnath Gupta, Simone Santini",2002,GeMBASE: A Geometric Mediator for Brain Analysis with Surface Ensembles,VLDB
567,"Susan B. Davidson, Limsoon Wong, Kyle Hart, Peter Buneman, G. Christian Overton",1995,A Data Transformation System for Biological Data Sources,VLDB
568,"Rajeev Motwani, Aristides Gionis, Piotr Indyk",1999,Similarity Search in High Dimensions via Hashing,VLDB
569,"Zahir Tari, Stefano Spaccapietra, John Stokes",1997,Object Normal Forms and Dependency Constraints for Object-Oriented Schemata,ACM Trans. Database Syst.
570,"Wang-Pin Hsiung, Kunihiro Taniguchi, Yusuf Akca, Oliver Po, Wen-Syan Li, Divyakant Agrawal, K. Sel�uk Candan",2003,CachePortal II: Acceleration of Very Large Scale Data Center-Hosted Database-driven Web Applications,VLDB
571,"Jun-Ki Min, Chin-Wan Chung, Chang-Won Park",2002,Structural Function Inlining Technique for Structurally Recursive XML Queries,VLDB
572,"Jennifer Widom, Chris Olston",2000,Offering a Precision-Performance Tradeoff for Aggregation Queries over Replicated Data,VLDB
573,"Subbu N. Subramanian, Srinivasa Narayanan",2001,Tavant System Architecture for Sell-side Channel Management,VLDB
574,"Michalis Vazirgiannis, Maria Halkidi, Yannis Batistakis",2002,Clustering Validity Checking Methods: Part II,SIGMOD Record
575,"Theodore Johnson, Amr El Abbadi, Richard T. Snodgrass, Kenneth A. Ross",2002,Reminiscences on Influential Papers,SIGMOD Record
576,"Tolga Urhan, Laura Bright, Vladimir Zadorozhny, Maria-Esther Vidal, Louiqa Raschid",2002,Efficient evaluation of queries in a mediator for WebSources,SIGMOD Conference
577,"Chen Qun, Andrew Lim, Kian Win Ong",2003,D(k)-Index: An Adaptive Structural Summary for Graph-Structured Data,SIGMOD Conference
578,"Bettina Kemme, Ricardo Jim�nez-Peris, Marta Pati�o-Mart�nez, Gustavo Alonso",2003,Are quorums an alternative for data replication?,ACM Trans. Database Syst.
579,"Alex Dekhtyar, Robert Ross, V. S. Subrahmanian",2001,"Probabilistic temporal databases, I: algebra",ACM Trans. Database Syst.
580,Paul Brown,1999,Implementing the Spirit of SQL-99,SIGMOD Conference
581,"Joseph M. Hellerstein, Michael Stonebraker",2001,Content Integration for E-Business,SIGMOD Conference
582,"Alexander S. Szalay, Donald R. Slutz, Ani Thakar, Jim Gray, Peter Z. Kunszt",2000,Designing and Mining Multi-Terabyte Astronomy Archives: The Sloan Digital Sky Survey,SIGMOD Conference
583,"Ramesh C. Agarwal, Mahesh V. Joshi",2001,Mining Needle in a Haystack: Classifying Rare Classes via Two-phase Rule Induction,SIGMOD Conference
584,"Paul Cereghini, Carlos Ordonez",2000,SQLEM: Fast Clustering in SQL using the EM Algorithm,SIGMOD Conference
585,"Ioana Burcea, Milenko Petrovic, Hans-Arno Jacobsen",2003,S-ToPSS: Semantic Toronto Publish/Subscribe System,VLDB
586,Frank Leymann,2001,Managing Business Processes via Workflow Technology,VLDB
587,"Bruce Lo, Tali Roth, Ron Avnur, Joseph M. Hellerstein, Chris Olston, Kirk Wylie, Bhaskaran Raman, Vijayshankar Raman",1998,CONTROL: Continuous Output and Navigation Technology with Refinement On-Line,SIGMOD Conference
588,"Yasushi Kiyoki, Takanari Hayama, Takashi Kitagawa",1994,A Metadatabase System for Semantic Image Search by a Mathematical Model of Meaning,SIGMOD Record
589,"Hui-I Hsiao, Inderpal Narang",2000,DLFM: A Transactional Resource Manager,SIGMOD Conference
590,Soumen Chakrabarti,1999,Hypertext Databases and Data Mining,SIGMOD Conference
591,"Matthias Klusch, Katia P. Sycara, Seth Widoff, Jianguo Lu",1999,Dynamic Service Matchmaking Among Agents in Open Information Environments,SIGMOD Record
592,"Waqar Hasan, Patrick Valduriez, Daniela Florescu",1996,Open Issues in Parallel Query Optimization,SIGMOD Record
593,Ilsoo Ahn,1994,Database Issues in Telecommunications Network Management,SIGMOD Conference
594,Chebel Mina,1998,MapInfo SpatialWare: A Spatial Information Server for RDBMS,VLDB
595,"Kien A. Hua, Jung-Hwan Oh",2000,Efficient and Cost-effective Techniques for Browsing and Indexing Large Video Databases,SIGMOD Conference
596,"Timos K. Sellis, Aris Tsois",2003,The Generalized Pre-Grouping Transformation: Aggregate-Query Optimization in the Presence of Dependencies,VLDB
597,?,1996,MineSet(tm): A System for High-End Data Mining and Visualization,VLDB
598,"Alexander Borgida, Martin Staudt, Vinay K. Chaudhri",1998,KRDB '98: The 5th International Workshop on Knowledge Representation Meets Databases,SIGMOD Record
599,"Peter A. Boncz, Tim R�hl, Fred Kwakkel",1998,The Drill Down Benchmark,VLDB
600,"Arjan Pellenkoft, C�sar A. Galindo-Legaria, Martin L. Kersten",1994,"Fast, Randomized Join-Order Selection - Why Use Transformations?",VLDB
601,Ronald G. Ross,2000,Expressing Business Rules,SIGMOD Conference
602,"Kenneth A. Ross, Zhe Li",1999,Fast Joins Using Join Indices,VLDB J.
603,"Sanjeev Saluja, Hannu Toivonen, Roni Khardon, Heikki Mannila, Ram Sewak Sharm, Dimitrios Gunopulos",2003,Discovering all most specific sentences,ACM Trans. Database Syst.
604,"Sukho Lee, Bongki Moon, Hyoseop Shin",2000,Adaptive Multi-Stage Distance Join Processing,SIGMOD Conference
605,"Christos Faloutsos, Leejay Wu, Katia P. Sycara, Terry R. Payne",2000,FALCON: Feedback Adaptive Loop for Content-Based Retrieval,VLDB
606,"Kian-Lee Tan, Son Dao, Hongjun Lu",1995,The Fittest Survives: An Adaptive Approach to Query Optimization,VLDB
607,Sherif Danish,1998,Building Database-driven Electronic Catalogs,SIGMOD Record
608,Tzi-cker Chiueh,1994,Content-Based Image Indexing,VLDB
609,"Mong-Li Lee, Beng Chin Ooi, Anirban Mondal, Kian-Lee Tan, Masaru Kitsuregawa",2000,Towards Self-Tuning Data Placement in Parallel Database Systems,SIGMOD Conference
610,"Barbara Liskov, Atul Adya, Robert Gruber, Umesh Maheshwari",1995,Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks,SIGMOD Conference
611,"Philip A. Bernstein, Erhard Rahm, Sergey Melnik",2003,Rondo: A Programming Platform for Generic Model Management,SIGMOD Conference
612,Joseph M. Hellerstein,1998,Optimization Techniques for Queries with Expensive Methods,ACM Trans. Database Syst.
613,"Fran�ois Llirbat, Fran�oise Fabret, Eric Simon",1997,Eliminating Costly Redundant Computations from SQL Trigger Executions,SIGMOD Conference
614,"Lyman Do, Prabhu Ram, Pamela Drew",1999,The Need for Distributed Asynchronous Transactions,SIGMOD Conference
615,"Yusuf Akca, Cemal Yilmaz, K. Sel�uk Candan, Wen-Syan Li, Wei-Kuang Waine Huang, Qiong Luo, Divyakant Agrawal, Wang-Pin Hsiung, Oliver Po",2001,Cache Portal: Technology for Accelerating Database-driven e-commerce Web Sites,VLDB
616,"Dimitris Papadias, Yufei Tao",2001,MV3R-Tree: A Spatio-Temporal Access Method for Timestamp and Interval Queries,VLDB
617,"Richard Swagerman, Nelson Mendon�a Mattos, Michael J. Carey, Srinivasa Narayanan, Bennet Vance, Doug Doole, Serge Rielau, Donald D. Chamberlin",1999,"O-O, What's Happening to DB2?",SIGMOD Conference
618,"Beverly Yang, Hector Garcia-Molina",2001,Comparing Hybrid Peer-to-Peer Systems,VLDB
619,"Vuk Ercegovac, Allison Woodruff, Michael Stonebraker, Mark Lin, Mybrid Spalding, Alexander Aiken, Chris Olston, Michael Chu",1998,DataSplash,SIGMOD Conference
620,"Nick Roussopoulos, Yannis Kotidis",2001,A case for dynamic view management,ACM Trans. Database Syst.
621,"Riccardo Torlone, Paolo Atzeni",2003,Chameleon: an Extensible and Customizable Tool for Web Data Translation,VLDB
622,"Ibrahim Cingil, Nazife Dimililer, Nesime Tatbul, Ilker Durusoy, Asuman Dogac, Pinar Koksal, Sena Nural Arpinar",1998,A Workflow-based Electronic Marketplace on the Web,SIGMOD Record
623,"Jayant Madhavan, Robin Dhamankar, Alon Y. Halevy, Pedro Domingos, AnHai Doan",2003,Learning to match ontologies on the Semantic Web,VLDB J.
624,Michael M. David,2003,ANSI SQL Hierarchical Processing Can Fully Integrate Native XML,SIGMOD Record
625,Harald Sch�ning,1998,The ADABAS Buffer Pool Manager,VLDB
626,"Yuan Gao, Theodore Johnson, Charles D. Cranor, Vladislav Shkapenyuk, Oliver Spatscheck",2002,Gigascope: high performance network monitoring with an SQL interface,SIGMOD Conference
627,"Salvatore J. Stolfo, Mauricio A. Hern�ndez",1995,The Merge/Purge Problem for Large Databases,SIGMOD Conference
628,"Nikos Mamoulis, Jun Zhang, Dimitris Papadias, Yufei Tao",2003,Query Processing in Spatial Network Databases,VLDB
629,"B. Gotsmann, A. Dholakia, G. Cherubini, Walter H�berle, H. Pozidis, Michel Despont, Richard Stutz, P. B�chtold, C. Hagleitner, T. R. Albrecht, Hugo E. Rothuizen, Gerd K. Binnig, D. Jubin, A. Pantazi, M. A. Lantz, E. Eleftheriou, Urs D�rig, T. Loeliger, Peter Vettiger, D. Wiesmann, Ute Drechsler",2003,A Nanotechnology-based Approach to Data Storage,VLDB
630,"Kian-Lee Tan, Cheng Hian Goh, Beng Chin Ooi",1998,Fast High-Dimensional Data Search in Incomplete Databases,VLDB
631,"Jeffrey Xu Yu, Hongjun Lu, Ling Feng, Jiawei Han",2002,A template model for multidimensional inter-transactional association rules,VLDB J.
632,"Wei-Yin Loh, Raghu Ramakrishnan, Venkatesh Ganti, Johannes Gehrke",1999,BOAT-Optimistic Decision Tree Construction,SIGMOD Conference
633,"Samuel Madden, Mehul A. Shah, Vijayshankar Raman, Joseph M. Hellerstein",2002,Continuously adaptive continuous queries over streams,SIGMOD Conference
634,"Peter Thanisch, Colin Stirling, Tim Kempster",1999,Diluting ACID,SIGMOD Record
635,"Alberto O. Mendelzon, Dimitra Vista, Masum Z. Hasan",1996,Applying database Visualization to the World Wide Web,SIGMOD Record
636,"Michael Benedikt, Aoying Zhou, Rajeev Rastogi, Shihui Zheng, Chee Yong Chan, Wenfei Fan",2002,DTD-Directed Publishing with Attribute Translation Grammars,VLDB
637,"Surajit Chaudhuri, Prasanna Ganesan, Vivek R. Narasayya",2003,Primitives for Workload Summarization and Implications for SQL,VLDB
638,"Betty Salzberg, Chendong Zou",1998,Safely and Efficiently Updating References During On-line Reorganization,VLDB
639,"Michele Missikoff, Anna Formica, Hans Dietmar Gr�ger",1998,An Efficient Method for Checking Object-Oriented Database Schema Correctness,ACM Trans. Database Syst.
640,"Michael Stonebraker, Sunita Sarawagi",1996,Reordering Query Execution in Tertiary Memory Databases,VLDB
641,T. K. Rengarajan,1996,How System 11 SQL Server Became Fast,VLDB
642,Anant Jhingran,2000,Moving up the food chain: Supporting E-Commerce Applications on Databases,SIGMOD Record
643,"Chin-Wan Chung, Kyuseok Shim, Jun-Ki Min",2002,APEX: an adaptive path index for XML data,SIGMOD Conference
644,Elisa Bertino,1994,Index Configuration in Object-Oriented Databases,VLDB J.
645,"Dimitris Papadias, Yufei Tao, Qiongmao Shen",2002,Continuous Nearest Neighbor Search,VLDB
646,M. Tamer �zsu,2002,Chair's Message,SIGMOD Record
647,Frank Manola,1998,Towards a Richer Web Object Model,SIGMOD Record
648,"Paolo Atzeni, Paolo Merialdo, Marco Pecorone, Marco Magnante, Giansalvatore Mecca",2000,Homer: a Model-Based CASE Tool for Data-Intensive Web Sites,SIGMOD Conference
649,"Hanan Samet, Erik G. Hoel",1994,Performance of Data-Parallel Spatial Operations,VLDB
650,Chris Eaton,1998,Managing Large Systems with DB2 UDB,SIGMOD Conference
651,"C. Mohan, Sailesh Krishnamurthy, Mehmet Altinel, Christof Bornh�vd, Hamid Pirahesh, Berthold Reinwald",2003,DBCache: Middle-tier Database Caching for Highly Scalable e-Business Architectures,SIGMOD Conference
652,"Yannis Papakonstantinou, Joachim Hammer, Jennifer Widom, Jeffrey D. Ullman, Hector Garcia-Molina, Kelly Ireland",1995,"Information Translation, Mediation, and Mosaic-Based Browsing in the TSIMMIS System",SIGMOD Conference
653,"Jun Rao, Kenneth A. Ross, Johannes Gehrke",2003,Reminiscences on Influential Papers,SIGMOD Record
654,Alexander A. Anisimov,2003,"Review of The data warehouse toolkit: the complete guide to dimensional modeling (2nd edition) by Ralph Kimball, Margy Ross. John Wiley & Sons, Inc. 2002",SIGMOD Record
655,"Boon Thau Loo, Jennifer Widom, Chris Olston",2001,Adaptive Precision Setting for Cached Approximate Values,SIGMOD Conference
656,"Serge Abiteboul, Rajeev Motwani, Svetlozar Nestorov",1998,Extracting Schema from Semistructured Data,SIGMOD Conference
657,"Josef Burger, Jeffrey F. Naughton, Stratis Viglas",2003,Maximizing the Output Rate of Multi-Way Join Queries over Streaming Information Sources,VLDB
658,"Antonio Albano, Renzo Orsini, Giorgio Ghelli",1995,Fibonacci: A Programming Language for Object Databases,VLDB J.
659,"Mark R. Tuttle, David B. Lomet",2003,A Theory of Redo Recovery,SIGMOD Conference
660,"John G. Hughes, David A. Bell, Sarabjot S. Anand",1994,An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,VLDB
661,"Z. Meral �zsoyoglu, Tolga Bozkaya",1997,Distance-Based Indexing for High-Dimensional Metric Spaces,SIGMOD Conference
662,"Sena Nural Arpinar, Asuman Dogac",2000,Provision of Market Services for eCo Compliant Electronic Market Places,SIGMOD Record
663,Philip A. Bernstein,2001,Report on the 2001 SIGMOD and PODS Awards,SIGMOD Record
664,"Swarup Acharya, Stanley B. Zdonik, Michael J. Franklin",1996,Disseminating Updates on Broadcast Disks,VLDB
665,"Peter J. Haas, Rakesh Agrawal, Jerry Kiernan",2003,"Watermarking relational data: framework, algorithms and analysis",VLDB J.
666,?,1994,"Title, Foreword, Preface to the Special Issue on Spatial Database Systems, Index Vol. 3",VLDB J.
667,Jean-Luc Hainaut,2003,Research in database engineering at the University of Namur,SIGMOD Record
668,"Mich�le Cart, Claire Morpain, Jean-Fran�ois Pons, Jean Ferri�",1996,Maintaining Database Consistency in Presence of Value Dependencies in Multidatabase Systems,SIGMOD Conference
669,"Anat Eyal, Tova Milo",2001,Integrating and customizing heterogeneous e-commerce applications,VLDB J.
670,"Ricky K. Taira, Ion Tim Ieong, Wesley W. Chu",1994,A Semantic Modeling Approach for Image Retrieval by Content,VLDB J.
671,"Yannis E. Ioannidis, Raghu Ramakrishnan, Philip A. Bernstein",2003,Guest editorial,VLDB J.
672,"Peter C. Lockemann, Bethina Schmitt, Michael Christoffel, Sebastian Pulkowski",1998,Electronic Market: The Roadmap for University Libraries and Members to Survive in the Information Jungle,SIGMOD Record
673,"Jeannie Shands, Kenneth Salem, Hector Garcia-Molina",1994,Altruistic Locking,ACM Trans. Database Syst.
674,Sunita Sarawagi,1995,Query Processing in Tertiary Memory Databases,VLDB
675,"Martin Bichler, Arie Segev, J. Leon Zhao",1998,Component-based E-Commerce: Assesment of Current Practices and Future Directions,SIGMOD Record
676,"Kaizhong Zhang, Dennis Shasha, Jason Tsong-Li Wang",1995,"Pattern Matching and Pattern Discovery in Scientific, Program, and Document Databases",SIGMOD Conference
677,"Olga Peschansky, Jos� Alberto Fern�ndez, Julie Basu",2000,Building Scalable Internet Applications with Oracle8i Server,VLDB
678,Michael Ubell,1994,The Montage Extensible DataBlade Achitecture,SIGMOD Conference
679,"Kenneth J. Goldman, Nancy A. Lynch",1994,Quorum Consensus in Nested Transaction Systems,ACM Trans. Database Syst.
680,Dean Kuo,1996,Model and Verification of a Data Manager Based on ARIES,ACM Trans. Database Syst.
