id,authors,year,title,venue
591,Elisa Bertino,1994,Index configuration in object-oriented databases,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
592,"Jim Melton, Andrew Eisenberg",2001,SQL multimedia and application packages (SQL/MM),ACM SIGMOD Record
593,Andrew Eisenberg,2001,Standards,ACM SIGMOD Record
594,Luca Cardelli,2001,Describing semistructured data,ACM SIGMOD Record
595,Leonid Libkin,2001,Database principles,ACM SIGMOD Record
596,H. V. Jagadish,2001,Information warfare and security,ACM SIGMOD Record
597,Marc H. Scholl,2001,"Transactional information systems: theory, algorithms, and the practice of concurrency control and recovery",ACM SIGMOD Record
598,Karl Aberer,2001,Book review column,ACM SIGMOD Record
599,Karl Aberer,2001,Book reviews,ACM SIGMOD Record
600,"Nabil Kamel, Ping Wu, Stanley Y. W. Su",1994,A pattern-based object calculus,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
601,"Kyu Young Whang, Sang Wook Kim, Gio Wiederhold",1994,Dynamic maintenance of data distribution for selectivity estimation,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
602,"Dimitrios Georgakopoulos, Marek Rusinkiewicz, Witold Litwin",1994,Chronological scheduling of transactions with temporal dependencies,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
603,"Amit Sheth, John Miller, Krys Kochut, Budak Arpinar",2001,Research in multi-organizational processes and semantic information brokering at the LSDIS lab,ACM SIGMOD Record
604,Amit Sheth,2001,Research centers,ACM SIGMOD Record
605,U&#287;ur &#199;etintemel,2001,On the academic interview circuit: an end-to-end discussion,ACM SIGMOD Record
606,Alexandros Labrinidis,2001,Career forum,ACM SIGMOD Record
607,"Mehul A. Shah, Michael J. Franklin, Samuel Madden, Joseph M. Hellerstein",2001,Java support for data-intensive systems: experiences building the telegraph dataflow system,ACM SIGMOD Record
608,"Robert Meersman, Amit Sheth",2002,Special section on semantic web and data management,ACM SIGMOD Record
609,"Peter Spyns, Robert Meersman, Mustafa Jarrar",2002,Data modelling versus ontology engineering,ACM SIGMOD Record
610,"York Sure, Steffen Staab, Rudi Studer",2002,Methodology for development and employment of ontology based knowledge management applications,ACM SIGMOD Record
611,"Christoph Bussler, Dieter Fensel, Alexander Maedche",2002,A conceptual architecture for semantic web enabled web services,ACM SIGMOD Record
612,"Daniel Barbar&#225;, Tomasz Imieli&#324;ski",1995,Sleepers and workaholics: caching strategies in mobile environments (extended version),The VLDB Journal &mdash; The International Journal on Very Large Data Bases
613,"Chris Nyberg, Tom Barclay, Zarka Cvetanovic, Jim Gray, Dave Lomet",1995,AlphaSort: a cache-sensitive parallel external sort,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
614,"Seth J. White, David J. DeWitt",1995,QuickStore: a high performance mapped object store,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
615,"Arun Swami, K. Bernhard Schiefer",1995,Estimating page fetches for index scans with finite LRU buffers,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
616,"W. I. Grosky, D. V. Sreenath, F. Fotouhi",2002,Emergent semantics and the multimedia semantic web,ACM SIGMOD Record
617,"David Buttler, Matthew Coleman, Terence Critchlow, Renato Fileto, Wei Han, Calton Pu, Daniel Rocco, Li Xiong",2002,Querying multiple bioinformatics information sources: can semantic web research help?,ACM SIGMOD Record
618,"Carole Goble, David De Roure",2002,The Grid: an application of the semantic web,ACM SIGMOD Record
619,Karl Aberer,2002,Book reviews,ACM SIGMOD Record
620,"Tim Finin, Anupam Joshi",2002,"Agents, trust, and information access on the semantic web",ACM SIGMOD Record
621,"E. Michael Maximilien, Munindar P. Singh",2002,Conceptual model of web service reputation,ACM SIGMOD Record
622,"Kemafor Anyanwu, Amit Sheth",2002,The &#961; operator: discovering and ranking associations on the semantic web,ACM SIGMOD Record
623,"Karl Aberer, Philippe Cudr&#233;-Mauroux, Manfred Hauswirth",2002,A framework for semantic gossiping,ACM SIGMOD Record
624,"Ernest Teniente, Antoni Oliv&#233;",1995,Updating knowledge bases while maintaining their consistency,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
625,"Joan Peckham, Bonnie MacKellar, Michael Doherty",1995,Data model for extensible support of explicit relationships in design databases,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
626,"Marjorie Templeton, Herbert Henley, Edward Maros, Darrel J. Van Buer",1995,InterViso: dealing with the complexity of federated database access,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
627,"Ralf Hartmut G&#252;ting, Markus Schneider",1995,Realm-based spatial data types: the ROSE algebra,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
628,"Chris Clifton, Hector Garcia-Molina, David Bloom",1995,HyperFile: a data and query model for documents,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
629,"Panos Constantopoulos, Matthias Jarke, John Mylopoulos, Yannis Vassiliou",1995,The software information base: a server for reuse,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
630,"Asit Dan, Philip S. Yu, Jen Yao Chung",1995,Characterization of database access pattern for analytic prediction of buffer hit probability,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
631,"Divyakant Agrawal, Amr El Abbadi, Richard Jeffers, Lijing Lin",1995,Ordered shared locks for real-time databases,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
632,"Gad M. Landau, Jeanette P. Schmidt, Vassilis J. Tsotras",1995,Historical queries along multiple lines of time evolution,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
633,"Alfons Kemper, Donald Kossmann",1995,"Adaptable pointer swizzling strategies in object bases: design, realization, and quantitative analysis",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
634,Stanley Y. W. Su,1995,Special system-oriented section: the best of SIGMOD '94,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
635,"Serge Abiteboul, Catriel Beeri",1995,The power of languages for the manipulation of complex values,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
636,"Antonio Albano, Giorgio Ghelli, Renzo Orsini",1995,Fibonacci: a programming language for object databases,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
637,"Malcolm Atkinson, Ronald Morrison",1995,Orthogonally persistent object systems,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
638,"V&#233;ronique Benzaken, Anne Doucet",1995,Themis: a database programming language handling integrity constraints,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
639,"M. Tamer &#214;zsu, Randal Peters, Duane Szafron, Boman Irani, Anna Lipka, Adriana Mu&#241;oz",1995,Tigukat: a uniform behavioral objectbase management system,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
640,"Stratis D. Viglas, Jeffrey F. Naughton",2002,Rate-based query optimization for streaming information sources,International Conference on Management of Data
641,"Panos Kalnis, Wee Siong Ng, Beng Chin Ooi, Dimitris Papadias, Kian-Lee Tan",2002,An adaptive peer-to-peer network for distributed caching of OLAP results,International Conference on Management of Data
642,"Mirek Riedewald, Divyakant Agrawal, Amr El Abbadi",2002,Efficient integration and aggregation of historical information,International Conference on Management of Data
643,"Peter Buneman, Sanjeev Khanna, Keishi Tajima, Wang-Chiew Tan",2002,Archiving scientific data,International Conference on Management of Data
644,"Vladimir Zadorozhny, Louiqa Raschid, Maria Esther Vidal, Tolga Urhan, Laura Bright",2002,Efficient evaluation of queries in a mediator for WebSources,International Conference on Management of Data
645,"Chris Olston, Jennifer Widom",2002,Best-effort cache synchronization with source cooperation,International Conference on Management of Data
646,"Alin Dobra, Minos Garofalakis, Johannes Gehrke, Rajeev Rastogi",2002,Processing complex aggregate queries over data streams,International Conference on Management of Data
647,"Samuel Madden, Mehul Shah, Joseph M. Hellerstein, Vijayshankar Raman",2002,Continuously adaptive continuous queries over streams,International Conference on Management of Data
648,Avigdor Gal,2002,Reports,ACM SIGMOD Record
649,Kenneth A. Ross,2002,Reminiscences on influential papers,ACM SIGMOD Record
650,Ken Ross,2002,Influential papers,ACM SIGMOD Record
651,Michael Stonebraker,2002,Too much middleware,ACM SIGMOD Record
652,Richard Thomas Snodgrass,2002,Why I like working in academia,ACM SIGMOD Record
653,Alexandros Labrinidis,2002,Career forum,ACM SIGMOD Record
654,"Albertas Caplinskas, Johann Eder, Olegas Vasilecas",2002,Advances in databases and information systems: report of 5th East European Conference ADBIS'2001,ACM SIGMOD Record
655,"Carole Goble, Brian Read",2002,Report on the 18th British National Conference on Databases (BNCOD),ACM SIGMOD Record
656,Michael Dertouzos,2002,What will be,ACM SIGMOD Record
657,Marianne Winslett,2002,Distinguished database profiles,ACM SIGMOD Record
658,"Philip M. Lewis, Arthur Bernstein, Michael Kifer",2002,Databases and transaction processing: an application-oriented approach,ACM SIGMOD Record
659,"Ian H. Witten, Eibe Frank",2002,Data mining: practical machine learning tools and techniques with Java implementations,ACM SIGMOD Record
660,Dan Suciu,2002,The XML typechecking problem,ACM SIGMOD Record
661,Len Seligman,2002,Industry perspective,ACM SIGMOD Record
662,Marianne Winslett,2002,"Avi Silberschatz speaks out: on academia versus industrial labs, startup fever, database PhD quality, the future of data mining as a research area, IP issues, how he wouldn't change a thing, and more",ACM SIGMOD Record
663,Leonid Libkin,2002,Database principles,ACM SIGMOD Record
664,"Christoph Quix, Mareike Schoop, Manfred Jeusfeld",2002,Business data management for business-to-business electronic commerce,ACM SIGMOD Record
665,"Riza Cenk Erdur, O&#287;uz Dikenelli",2002,A multi-agent system infrastructure for software component market-place: an ontological perspective,ACM SIGMOD Record
666,HyoungDo Kim,2002,Conceptual modeling and specification generation for B2B business processes based on ebXML,ACM SIGMOD Record
667,"Zhan Cui, Dean Jones, Paul O'Brien",2002,Semantic B2B integration: issues in ontology-based approaches,ACM SIGMOD Record
668,Karl Aberer,2002,Book reviews,ACM SIGMOD Record
669,Karl Aberer,2002,Book review column,ACM SIGMOD Record
670,"Michael O. Ball, Meng Ma, Louiqa Raschid, Zhengying Zhao",2002,Supply chain infrastructures: system integration and information sharing,ACM SIGMOD Record
671,Christoph Bussler,2002,The role of B2B engines in B2B integration architectures,ACM SIGMOD Record
672,"Haixun Wang, Wei Wang, Jiong Yang, Philip S. Yu",2002,Clustering by pattern similarity in large data sets,International Conference on Management of Data
673,"Yang-Sae Moon, Kyu-Young Whang, Wook-Shin Han",2002,General match: a subsequence matching method in time-series databases based on generalized windows,International Conference on Management of Data
674,"Cecilia M. Procopiuc, Michael Jones, Pankaj K. Agarwal, T. M. Murali",2002,A Monte Carlo algorithm for fast projective clustering,International Conference on Management of Data
675,"Jiong Yang, Wei Wang, Philip S. Yu, Jiawei Han",2002,Mining long sequential patterns in a noisy environment,International Conference on Management of Data
676,"Yong-Jin Choi, Chin-Wan Chung",2002,Selectivity estimation for spatio-temporal queries to moving objects,International Conference on Management of Data
677,"Nitin Thaper, Sudipto Guha, Piotr Indyk, Nick Koudas",2002,Dynamic multidimensional histograms,International Conference on Management of Data
678,"Yannis Sismanis, Antonios Deligiannakis, Nick Roussopoulos, Yannis Kotidis",2002,Dwarf: shrinking the PetaCube,International Conference on Management of Data
679,Charu C. Aggarwal,2002,"Hierarchical subspace sampling: a unified framework for high dimensional data reduction, selectivity estimation and nearest neighbor search",International Conference on Management of Data
680,Prakash Ramanan,2002,Efficient algorithms for minimizing tree pattern queries,International Conference on Management of Data
681,"Sudipto Guha, H. V. Jagadish, Nick Koudas, Divesh Srivastava, Ting Yu",2002,Approximate XML joins,International Conference on Management of Data
682,"Arjen P. de Vries, Nikos Mamoulis, Niels Nes, Martin Kersten",2002,Efficient k-NN search on vertically decomposed data,International Conference on Management of Data
683,"Nicolas Bruno, Nick Koudas, Divesh Srivastava",2002,Holistic twig joins: optimal XML pattern matching,International Conference on Management of Data
684,"Kevin Chen-Chuan Chang, Seung-won Hwang",2002,Minimal probing: supporting expensive predicates for top-k queries,International Conference on Management of Data
685,"Yufei Tao, Dimitris Papadias",2002,Time-parameterized queries in spatio-temporal databases,International Conference on Management of Data
686,"Like Gao, X. Sean Wang",2002,Continually evaluating similarity-based pattern queries on a streaming time series,International Conference on Management of Data
687,"Neoklis Polyzotis, Minos Garofalakis",2002,Statistical synopses for graph-structured XML databases,International Conference on Management of Data
688,"Yannis Papakonstantinou, Michalis Petropoulos, Vasilis Vassalos",2002,QURSED: querying and reporting semistructured data,International Conference on Management of Data
689,"Igor Tatarinov, Stratis D. Viglas, Kevin Beyer, Jayavel Shanmugasundaram, Eugene Shekita, Chun Zhang",2002,Storing and querying ordered XML using a relational database system,International Conference on Management of Data
690,"Hakan Hacig&#252;m&#252;&#351;, Bala Iyer, Chen Li, Sharad Mehrotra",2002,Executing SQL over encrypted data in the database-service-provider model,International Conference on Management of Data
691,"Michael Gillmann, Gerhard Weikum, Wolfgang Wonner",2002,Workflow management with service quality guarantees,International Conference on Management of Data
692,"Tamraparni Dasu, Theodore Johnson, S. Muthukrishnan, Vladislav Shkapenyuk",2002,"Mining database structure; or, how to build a data quality browser",International Conference on Management of Data
693,"Gang Luo, Curt J. Ellmann, Peter J. Haas, Jeffrey F. Naughton",2002,A scalable hash ripple join algorithm,International Conference on Management of Data
694,"Nicolas Bruno, Surajit Chaudhuri",2002,Exploiting statistics on query expressions for optimization,International Conference on Management of Data
695,"Vijayshankar Raman, Joseph M. Hellerstein",2002,Partial results for online query processing,International Conference on Management of Data
696,"Anindya Datta, Kaushik Dutta, Helen Thomas, Debra VanderMeer,  Suresha, Krithi Ramamritham",2002,Proxy-based acceleration of dynamically generated content on the world wide web: an approach and implementation,International Conference on Management of Data
697,Torsten Grust,2002,Accelerating XPath location steps,International Conference on Management of Data
698,"Chin-Wan Chung, Jun-Ki Min, Kyuseok Shim",2002,APEX: an adaptive path index for XML data,International Conference on Management of Data
699,"Raghav Kaushik, Philip Bohannon, Jeffrey F Naughton, Henry F Korth",2002,Covering indexes for branching path queries,International Conference on Management of Data
700,"Jingren Zhou, Kenneth A. Ross",2002,Implementing database operations using SIMD instructions,International Conference on Management of Data
701,"Shimin Chen, Phillip B. Gibbons, Todd C. Mowry, Gary Valentin",2002,Fractal prefetching B+-Trees: optimizing both cache and disk performance,International Conference on Management of Data
702,"Wei Li, Dengfeng Gao, Richard Thomas Snodgrass",2002,Skew handling techniques in sort-merge join,International Conference on Management of Data
703,"Juliana Freire, Jayant R. Haritsa, Maya Ramanath, Prasan Roy, J&#233;r&#244;me Sim&#233;on",2002,StatiX: making XML count,International Conference on Management of Data
704,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",2002,HD-Eye: visual clustering of high dimensional data,International Conference on Management of Data
705,"Jessica M. Phan, Raymond Ng",2002,GEA: a toolkit for gene expression analysis,International Conference on Management of Data
706,"Sanjay Agrawal, Surajit Chaudhuri, Gautam Das",2002,DBXplorer: enabling keyword search over relational databases,International Conference on Management of Data
707,"Jiawei Han, Jianyong Wang, Guozhu Dong, Jian Pei, Ke Wang",2002,CubeExplorer: online exploration of data cubes,International Conference on Management of Data
708,"Daniela Florescu, Andreas Gr&#252;nhagen, Donald Kossmann, Steffen Rost",2002,XL: a platform for web services,International Conference on Management of Data
709,"Valter Crescenzi, Giansalvatore Mecca, Paolo Merialdo",2002,RoadRunner: automatic data extraction from data-intensive web sites,International Conference on Management of Data
710,"Chuck Cranor, Yuan Gao, Theodore Johnson, Vlaidslav Shkapenyuk, Oliver Spatscheck",2002,Gigascope: high performance network monitoring with an SQL interface,International Conference on Management of Data
711,"Samuel Madden, Joseph M. Hellerstein",2002,Distributing queries over low-power wireless sensor networks,International Conference on Management of Data
712,"Wai Fu Fung, David Sun, Johannes Gehrke",2002,COUGAR: the network is the database,International Conference on Management of Data
713,"Tengjiao Wang, Shiwei Tang, Dongqing Yang, Jun Gao, Yuqing Wu, Jian Pei",2002,"COMMIX: towards effective web information extraction, integration and query answering",International Conference on Management of Data
714,"Pradnya Karbhari, Michael Rabinovich, Zhen Xiao, Fred Douglis",2002,ACDN: a content delivery network for applications,International Conference on Management of Data
715,"Li Chen, Elke A. Rundensteiner, Song Wang",2002,XCache: a semantic caching system for XML queries,International Conference on Management of Data
716,"Daniel J. Abadi, Mitch Cherniack",2002,Visual COKO: a debugger for query optimizer development,International Conference on Management of Data
717,"Denilson Barbosa, Alberto Mendelzon, John Keenleyside, Kelly Lyons",2002,ToXgene: a template-based data generator for XML,International Conference on Management of Data
718,"Anja Theobald, Gerhard Weikum",2002,The XXL search engine: ranked retrieval of XML data using indexes and ontologies,International Conference on Management of Data
719,"Xin Zhang, Mukesh Mulchandani, Steffen Christ, Brian Murphy, Elke A. Rundensteiner",2002,Rainbow: mapping-driven XQuery processing system,International Conference on Management of Data
720,"Mehmet Altinel, Qiong Luo, Sailesh Krishnamurthy, C. Mohan, Hamid Pirahesh, Bruce G. Lindsay, Honguk Woo, Larry Brown",2002,DBCache: database caching for web application servers,International Conference on Management of Data
721,"Volker Markl, Guy Lohman",2002,Learning table access cardinalities with LEO,International Conference on Management of Data
722,"Jesse Anton, Lawrence Jacobs, Xiang Liu, Jordan Parker, Zheng Zeng, Tie Zhong",2002,Web caching for database applications with Oracle Web Cache,International Conference on Management of Data
723,"Qiong Luo, Sailesh Krishnamurthy, C. Mohan, Hamid Pirahesh, Honguk Woo, Bruce G. Lindsay, Jeffrey F. Naughton",2002,Middle-tier database caching for e-business,International Conference on Management of Data
724,"Meikel Poess, Bryan Smith, Lubor Kollar, Paul Larson",2002,"TPC-DS, taking decision support benchmarking to the next level",International Conference on Management of Data
725,The TimesTen Team,2002,Mid-tier caching: the TimesTen approach,International Conference on Management of Data
726,"Jun Rao, Chun Zhang, Nimrod Megiddo, Guy Lohman",2002,Automating physical database design in a parallel database,International Conference on Management of Data
727,"Alexander S. Szalay, Jim Gray, Ani R. Thakar, Peter Z. Kunszt, Tanu Malik, Jordan Raddick, Christopher Stoughton, Jan vandenBerg",2002,The SDSS skyserver: public access to the sloan digital sky server data,International Conference on Management of Data
728,Andreas Weininger,2002,Efficient execution of joins in a star schema,International Conference on Management of Data
729,"Ravi Kanth V Kothuri, Siva Ravada, Daniel Abugov",2002,Quadtree and R-tree indexes in oracle spatial: a comparison using GIS data,International Conference on Management of Data
730,"Vanja Josifovski, Peter Schwarz, Laura Haas, Eileen Lin",2002,Garlic: a new flavor of federated query processing for DB2,International Conference on Management of Data
731,"Peter Bumbulis, Ivan T. Bowman",2002,A compact B-tree,International Conference on Management of Data
732,"Suparna Bhattacharya, C. Mohan, Karen W. Brannon, Inderpal Narang, Hui-I Hsiao, Mahadevan Subramanian",2002,Coordinating backup/recovery and data consistency between database and file systems,International Conference on Management of Data
733,"Asuman Dogac, Yusuf Tambag, Pinar Pembecioglu, Sait Pektas, Gokce Laleci, Gokhan Kurt, Serkan Toprak, Yildiray Kabak",2002,An ebXML infrastructure implementation through UDDI registries and RosettaNet PIPs,International Conference on Management of Data
734,"Minos Garofalakis, Phillip B. Gibbons",2002,Wavelet synopses with error guarantees,International Conference on Management of Data
735,"Surajit Chaudhuri, Ashish Kumar Gupta, Vivek Narasayya",2002,Compressing SQL workloads,International Conference on Management of Data
736,Jignesh Patel,2002,Systems and prototypes,ACM SIGMOD Record
737,"Alberto H. F. Laender, Berthier A. Ribeiro-Neto, Altigran S. da Silva, Juliana S. Teixeira",2002,A brief survey of web data extraction tools,ACM SIGMOD Record
738,Andrew Eisenberg,2002,Standards,ACM SIGMOD Record
739,"Roger Barga, David Lomet",2002,Phoenix project: fault-tolerant applications,ACM SIGMOD Record
740,Avigdor Gal,2002,Reports,ACM SIGMOD Record
741,Frank G. Goethals,2002,Data warehousing and business intelligence for e-commerce: by Alan R. Simon & Steven L. Shaffer,ACM SIGMOD Record
742,Joachim Hammer,2002,Report on the ACM fourth international workshop on data warehousing and OLAP (DOLAP 2001),ACM SIGMOD Record
743,"Birgitta K&#246;nig-Ries, Kia Makki, Sam Makki, Charles Perkins, Niki Pissinou, Peter Reiher, Peter Scheuermann, Jari Veijalainen, Ouri Wolfson",2002,"On building an infrastructure for mobile and wireless systems: report on the NSF workshop on an infrastructure for mobile and wireless systems, Oct. 15, 2001",ACM SIGMOD Record
744,Karl Aberer,2002,Book review column,ACM SIGMOD Record
745,Karl Aberer,2002,Book reviews,ACM SIGMOD Record
746,Aris Ouksel,2002,"Mining the world wide web: an information search approach by George Chang, Marcus J. Healey (editor), James A. M. McHugh, Jason T. L. Wang",ACM SIGMOD Record
747,"Fernando Berzal, Nicolf&#225;s Mat&#237;n",2002,Data mining: concepts and techniques by Jiawei Han and Micheline Kamber,ACM SIGMOD Record
748,Rafael Camps Par&#233;,2002,From ternary relationship to relational tables: a case against common beliefs,ACM SIGMOD Record
749,"Maria Halkidi, Yannis Batistakis, Michalis Vazirgiannis",2002,Cluster validity methods: part I,ACM SIGMOD Record
750,Marianne Winslett,2002,"David DeWitt speaks out: on rethinking the CS curriculum, why the database community should be proud, why query optimization doesn't work, how supercomputing funding is sometimes very poorly spent, how he's not a good coder and isn't smart enough to do DB theory, and more",ACM SIGMOD Record
751,Marianne Winslett,2002,Distinguished database profiles,ACM SIGMOD Record
752,"Ratko Orlandic, Jack Lukaszuk, Craig Swietlik",2002,The design of a retrieval technique for high-dimensional data on tertiary storage,ACM SIGMOD Record
753,"Elaheh Pourabbas, Maurizio Rafanelli",2002,A pictorial query language for querying geographic databases using positional and OLAP operators,ACM SIGMOD Record
754,Nancy Wiegand,2002,Investigating XQuery for querying across database object types,ACM SIGMOD Record
755,Harald Kosch,2002,MPEG-7 and multimedia database systems,ACM SIGMOD Record
756,"Dennis Shasha, Philippe Bonnet",2002,"Database tuning: principles, experiments, and troubleshooting techniques (part II)",International Conference on Management of Data
757,Christoph Bussler,2002,Software as a service: ASP and ASP aggregation,International Conference on Management of Data
758,Avigdor Gal,2002,Articles,ACM SIGMOD Record
759,"Giedrius Slivinskas, Christian S. Jensen, Richard Thomas Snodgrass",2002,Bringing order to query optimization,ACM SIGMOD Record
760,Paul Cotton,2002,Implementing XQuery,International Conference on Management of Data
761,"Minos Garofalakis, Johannes Gehrke, Rajeev Rastogi",2002,Querying and mining data streams: you only get one look a tutorial,International Conference on Management of Data
762,C. Mohan,2002,Tutorial: application servers and associated technologies,International Conference on Management of Data
763,"Dennis Shasha, Philippe Bonnet",2002,"Database tuning: principles, experiments, and troubleshooting techniques (part I)",International Conference on Management of Data
764,"Hongjun Lu, Guoren Wang, Ge Yu, Yubin Bao, Jianhua Lv, Yaxin Yu",2002,XBase: making your gigabyte disk queriable,International Conference on Management of Data
765,"Elke A. Rundensteiner, Matthew O. Ward, Jing Yang, Punit R. Doshi",2002,XmdvTool: visual interactive data exploration and trend discovery of high-dimensional data sets,International Conference on Management of Data
766,"Joseph M. Hellerstein, Jennifer Widom",2002,Data streams: fresh current or stagnant backwater? (panel),International Conference on Management of Data
767,Philippe Bonnet,2002,Going public: open-source databases and database research,International Conference on Management of Data
768,"Edwin M. Knorr, Raymond T. Ng",1998,Algorithms for Mining Distance-Based Outliers in Large Datasets,Very Large Data Bases
769,"Stephen Blott, Henry F. Korth, Abraham Silberschatz",1998,"Information, Communication, and Money: For What Can We Charge and How Can We Meter It?",Very Large Data Bases
770,Laurent Vieille,1998,From Data Independence to Knowledge Independence: An on-going Story,Very Large Data Bases
771,"Randall G. Bello, Karl Dias, Alan Downing, James J. Feenan, Jr., James L. Finnerty, William D. Norcott, Harry Sun, Andrew Witkowski, Mohamed Ziauddin",1998,Materialized Views in Oracle,Very Large Data Bases
772,"Min Fang, Narayanan Shivakumar, Hector Garcia-Molina, Rajeev Motwani, Jeffrey D. Ullman",1998,Computing Iceberg Queries Efficiently,Very Large Data Bases
773,"Clara Nippl, Bernhard Mitschang",1998,"TOPAZ: a Cost-Based, Rule-Driven, Multi-Phase Parallelizer",Very Large Data Bases
774,"Lars Arge, Octavian Procopiuc, Sridhar Ramaswamy, Torsten Suel, Jeffrey Scott Vitter",1998,Scalable Sweeping-Based Spatial Join,Very Large Data Bases
775,"Rasa Bliujute, Christian S. Jensen, Simonas Saltenis, Giedrius Slivinskas",1998,R-Tree Based Indexing of Now-Relative Bitemporal Data,Very Large Data Bases
776,"Gholamhosein Sheikholeslami, Surojit Chatterjee, Aidong Zhang",1998,WaveCluster: A Multi-Resolution Clustering Approach for Very Large Spatial Databases,Very Large Data Bases
777,"Reinhard Braumandl, Jens Clau&#223;en, Alfons Kemper",1998,Evaluating Functional Joins Along Nested Reference Sets in Object-Relational and Object-Oriented Databases,Very Large Data Bases
778,Sergio Greco,1998,Binding Propagation in Disjunctive Databases,Very Large Data Bases
779,J. D. Tygar,1998,Atomicity versus Anonymity: Distributed Transactions for Electronic Commerce,Very Large Data Bases
780,"Roy Goldman, Narayanan Shivakumar, Suresh Venkatasubramanian, Hector Garcia-Molina",1998,Proximity Search in Databases,Very Large Data Bases
781,"Erik Riedel, Garth A. Gibson, Christos Faloutsos",1998,Active Storage for Large-Scale Data Mining and Multimedia,Very Large Data Bases
782,"Jason McHugh, Jennifer Widom",1999,Query Optimization for XML,Very Large Data Bases
783,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",1999,Aqua: A Fast Decision Support Systems Using Approximate Query Answers,Very Large Data Bases
784,"Arnaud Sahuguet, Fabien Azavant",1999,Building Light-Weight Wrappers for Legacy Web Data-Sources Using W4F,Very Large Data Bases
785,Theodore Johnson,1999,Performance Measurements of Compressed Bitmap Indices,Very Large Data Bases
786,"Anindya Datta, Krithi Ramamritham, Helen M. Thomas",1999,Curio: A Novel Solution for Efficient Storage and Indexing in Data Warehouses,Very Large Data Bases
787,David Campbell,1999,"The New Locking, Logging, and Recovery Architecture of Microsoft SQL Server 7.0",Very Large Data Bases
788,"Sin Yeung Lee, Tok Wang Ling",1999,Unrolling Cycles to Decide Trigger Termination,Very Large Data Bases
789,"Jianzhong Li, Doron Rotem, Jaideep Srivastava",1999,Aggregation Algorithms for Very Large Compressed Data Warehouses,Very Large Data Bases
790,"Felix Naumann, Ulf Leser, Johann Christoph Freytag",1999,Quality-driven Integration of Heterogenous Information Systems,Very Large Data Bases
791,"Qi Cheng, Jarek Gryz, Fred Koo, T. Y. Cliff Leung, Linqi Liu, Xiaoyan Qian, K. Bernhard Schiefer",1999,Implementation of Two Semantic Query Optimization Techniques in DB2 Universal Database,Very Large Data Bases
792,Marcel Kornacker,1999,High-Performance Extensible Indexing,Very Large Data Bases
793,"Surajit Chaudhuri, Luis Gravano",1999,Evaluating Top-k Selection Queries,Very Large Data Bases
794,"Ke Wang, Senqiang Zhou, Shiang Chen Liew",1999,Building Hierarchical Classifiers Using Class Proximity,Very Large Data Bases
795,"J&#233;r&#244;me Darmont, Michel Schneider",1999,VOODB: A Generic Discrete-Event Random Simulation Model To Evaluate the Performances of OODBs,Very Large Data Bases
796,"Jun Rao, Kenneth A. Ross",1999,Cache Conscious Indexing for Decision-Support in Main Memory,Very Large Data Bases
797,"Kaladhar Voruganti, M. Tamer &#214;zsu, Ronald C. Unrau",1999,An Adaptive Hybrid Server Architecture for Client Caching ODBMSs,Very Large Data Bases
798,"Peter A. Boncz, Stefan Manegold, Martin L. Kersten",1999,Database Architecture Optimized for the New Bottleneck: Memory Access,Very Large Data Bases
799,"Chee Yong Chan, Yannis E. Ioannidis",1999,Hierarchical Prefix Cubes for Range-Sum Queries,Very Large Data Bases
800,"Mary Tork Roth, Fatma Ozcan, Laura M. Haas",1999,Cost Models DO Matter: Providing Cost Information for Diverse Data Sources in a Federated System,Very Large Data Bases
801,"Daniela Florescu, Alon Y. Levy, Dan Suciu, Khaled Yagoub",1999,Optimization of Run-time Management of Data Intensive Web-sites,Very Large Data Bases
802,"Michael L. Brodie, Surajit Chaudhuri",1999,Issues in Network Management in the Next Millennium,Very Large Data Bases
803,"Torben Bach Pedersen, Christian S. Jensen, Curtis E. Dyreson",1999,Extending Practical Pre-Aggregation in On-Line Analytical Processing,Very Large Data Bases
